n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,recall_micro_max,precision_micro_max
900.0,20.0,0.34,0.03,8.0,0.3697772777351483,0.7562945174928801
1900.0,4.0,0.38,0.15,4.0,0.3529697911062217,0.7478172902163849
1900.0,32.0,0.22,0.11,6.0,0.3658460684544667,0.7536083527191464
1900.0,16.0,0.14,0.05,6.0,0.3956607483004109,0.7614822515937146
1500.0,8.0,0.06,0.19,2.0,0.3529697911062217,0.7478172902163849
1100.0,8.0,0.18,0.05,6.0,0.3859984992690362,0.7600322382358016
900.0,12.0,0.14,0.17,4.0,0.3529697911062217,0.7478172902163849
900.0,12.0,0.02,0.17,8.0,0.3529697911062217,0.7478172902163849
900.0,32.0,0.18,0.03,10.0,0.4079138942513721,0.7614321005274658
500.0,24.0,0.18,0.13,8.0,0.3634104210714895,0.7525242669542029
1300.0,4.0,0.06,0.13,4.0,0.3531635941050977,0.7479173571812701
300.0,16.0,0.3,0.01,4.0,0.3636859091153522,0.7533850071562308
100.0,36.0,0.3,0.09,10.0,0.3734726105657019,0.7557726159404798
