binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(30.487, 32.782]","(17198.684, 18069.604]","(13.619, 15.535]","(11.317, 14.842]","(10112.759, 11038.402]","(25.25, 25.931]","(4.359, 6.303]","(21919.814, 22499.006]","(0.039, 1.68]",4698.0,769.0
"(28.596, 30.487]","(27498.474, 28245.716]","(22.113, 23.54]","(1.728, 3.724]","(28027.804, 28704.074]","(2.081, 3.568]","(26.258, 29.128]","(28475.28, 29884.81]","(20.842, 22.373]",14276.0,3949.0
"(9.756, 11.512]","(25308.238, 26307.966]","(27.351, 28.794]","(24.99, 26.706]","(22466.49, 23691.488]","(7.035, 9.34]","(26.258, 29.128]","(12651.296, 13873.478]","(22.373, 24.282]",16023.0,3228.0
"(24.014, 25.674]","(18069.604, 19205.184]","(18.838, 20.4]","(32.55, 33.545]","(26872.869, 28027.804]","(0.847, 2.081]","(26.258, 29.128]","(15851.919, 16991.383]","(20.842, 22.373]",23802.0,5669.0
"(9.756, 11.512]","(15386.752, 16071.688]","(9.531, 10.922]","(29.325, 30.945]","(28704.074, 29905.06]","(10.72, 11.406]","(1.898, 4.359]","(10034.119, 10495.754]","(20.842, 22.373]",15019.0,4743.0
"(24.014, 25.674]","(10042.609, 11034.201]","(28.794, 29.98]","(23.494, 24.99]","(23691.488, 24705.013]","(9.34, 10.72]","(6.303, 8.736]","(13873.478, 15159.435]","(15.67, 16.83]",20450.0,4764.0
"(11.512, 13.292]","(11034.201, 11974.945]","(9.531, 10.922]","(0.139, 1.728]","(14434.652, 15210.697]","(7.035, 9.34]","(26.258, 29.128]","(28475.28, 29884.81]","(22.373, 24.282]",7933.0,1536.0
"(13.292, 15.263]","(20333.54, 21495.298]","(25.448, 27.351]","(11.317, 14.842]","(28704.074, 29905.06]","(28.873, 29.99]","(10.853, 12.936]","(18066.412, 19186.778]","(25.735, 27.209]",0.0,0.0
"(38.353, 39.92]","(15386.752, 16071.688]","(7.036, 8.168]","(33.545, 36.393]","(16253.196, 17749.48]","(28.873, 29.99]","(32.323, 33.278]","(16991.383, 18066.412]","(19.794, 20.842]",15915.0,3079.0
"(2.327, 4.058]","(20333.54, 21495.298]","(8.168, 9.531]","(24.99, 26.706]","(24705.013, 25267.247]","(2.081, 3.568]","(34.864, 36.24]","(19989.86, 21047.544]","(22.373, 24.282]",21106.0,4064.0
"(6.876, 9.756]","(22544.526, 23183.966]","(7.036, 8.168]","(17.672, 19.56]","(17749.48, 19080.122]","(25.931, 27.817]","(4.359, 6.303]","(10034.119, 10495.754]","(24.282, 25.735]",10366.0,2848.0
"(20.44, 22.66]","(23183.966, 23975.204]","(22.113, 23.54]","(30.945, 32.55]","(26059.108, 26872.869]","(25.25, 25.931]","(15.385, 16.724]","(11185.643, 12651.296]","(18.14, 19.794]",20226.0,5200.0
"(38.353, 39.92]","(26307.966, 27498.474]","(2.819, 5.068]","(1.728, 3.724]","(26872.869, 28027.804]","(22.843, 24.328]","(33.278, 34.864]","(11185.643, 12651.296]","(25.735, 27.209]",259.0,92.0
"(25.674, 28.596]","(20333.54, 21495.298]","(22.113, 23.54]","(9.37, 11.317]","(26872.869, 28027.804]","(25.25, 25.931]","(4.359, 6.303]","(12651.296, 13873.478]","(2.898, 4.921]",183.0,126.0
"(25.674, 28.596]","(21495.298, 22544.526]","(7.036, 8.168]","(30.945, 32.55]","(23691.488, 24705.013]","(4.822, 7.035]","(29.128, 32.323]","(11185.643, 12651.296]","(2.898, 4.921]",19663.0,4907.0
"(32.782, 34.389]","(23183.966, 23975.204]","(24.714, 25.448]","(3.724, 6.211]","(28704.074, 29905.06]","(7.035, 9.34]","(8.736, 10.853]","(26517.227, 27436.739]","(6.5, 8.05]",4870.0,1966.0
"(28.596, 30.487]","(28245.716, 28943.995]","(8.168, 9.531]","(33.545, 36.393]","(14434.652, 15210.697]","(25.931, 27.817]","(34.864, 36.24]","(27436.739, 28475.28]","(9.597, 10.77]",13460.0,2321.0
"(0.169, 2.327]","(23183.966, 23975.204]","(1.64, 2.819]","(33.545, 36.393]","(15210.697, 16253.196]","(0.847, 2.081]","(38.258, 39.85]","(21047.544, 21919.814]","(20.842, 22.373]",8702.0,1422.0
"(32.782, 34.389]","(11974.945, 13119.594]","(5.068, 7.036]","(7.396, 9.37]","(23691.488, 24705.013]","(2.081, 3.568]","(10.853, 12.936]","(27436.739, 28475.28]","(29.083, 29.97]",25448.0,5416.0
"(16.26, 18.142]","(13119.594, 14386.418]","(8.168, 9.531]","(29.325, 30.945]","(10112.759, 11038.402]","(21.309, 22.843]","(38.258, 39.85]","(21047.544, 21919.814]","(19.794, 20.842]",4949.0,813.0
"(20.44, 22.66]","(23183.966, 23975.204]","(10.922, 12.32]","(19.56, 21.69]","(28027.804, 28704.074]","(4.822, 7.035]","(33.278, 34.864]","(25022.682, 26000.772]","(22.373, 24.282]",26591.0,6077.0
"(34.389, 36.458]","(23183.966, 23975.204]","(5.068, 7.036]","(26.706, 29.325]","(21509.223, 22466.49]","(0.847, 2.081]","(10.853, 12.936]","(13873.478, 15159.435]","(10.77, 11.832]",20490.0,4700.0
"(22.66, 24.014]","(13119.594, 14386.418]","(23.54, 24.714]","(3.724, 6.211]","(13002.937, 14434.652]","(3.568, 4.822]","(12.936, 15.385]","(21047.544, 21919.814]","(4.921, 6.5]",8821.0,1497.0
"(9.756, 11.512]","(19205.184, 20333.54]","(5.068, 7.036]","(14.842, 17.672]","(26059.108, 26872.869]","(12.588, 15.135]","(21.996, 24.384]","(12651.296, 13873.478]","(29.083, 29.97]",21492.0,5294.0
"(15.263, 16.26]","(14386.418, 15386.752]","(10.922, 12.32]","(21.69, 23.494]","(26872.869, 28027.804]","(22.843, 24.328]","(6.303, 8.736]","(21919.814, 22499.006]","(18.14, 19.794]",21487.0,5335.0
"(18.142, 20.44]","(14386.418, 15386.752]","(0.259, 1.64]","(9.37, 11.317]","(13002.937, 14434.652]","(21.309, 22.843]","(16.724, 18.602]","(27436.739, 28475.28]","(4.921, 6.5]",1675.0,407.0
