hidden_layer_sizes,alpha,batch_size,learning_rate_init,max_iter,beta_1,beta_2,epsilon,n_iter_no_change,explained_variance_max,max_error
27.0,0.01,128.0,0.1,200.0,0.99,0.9990000000000001,0.01,5.0,4.440892098500625e-17,0.6068868745791727
12.0,0.005,64.0,0.01,100.0,0.99,0.9990000000000001,1e-08,20.0,0.4350887231488133,0.8475369298529245
3.0,0.005,128.0,0.1,500.0,0.99,0.9990000000000001,0.1,5.0,3.330669073875469e-17,0.604143510163263
12.0,0.05,32.0,0.1,500.0,0.93,0.993,1e-08,10.0,1.1102230246251566e-17,0.6003333097813695
6.0,0.0005,128.0,1.0,100.0,0.9,0.9990000000000001,1e-08,10.0,5.551115123125783e-17,0.6040308311512285
30.0,0.0005,256.0,0.1,50.0,0.96,0.996,1e-08,10.0,0.0005871818175762211,0.6056472495850556
21.0,0.05,32.0,0.1,100.0,0.99,0.993,0.1,20.0,2.2865128012417028e-06,0.6177354682695329
6.0,0.05,64.0,0.1,300.0,0.99,0.9990000000000001,1e-08,10.0,5.551115123125783e-17,0.6222856517984116
21.0,0.01,128.0,0.1,300.0,0.99,0.993,1e-08,20.0,2.365049832656618e-05,0.6221791853622392
27.0,0.0005,128.0,1.0,100.0,0.96,0.993,0.1,5.0,5.551115123125783e-17,0.6258821780099497
27.0,0.0001,512.0,1.0,100.0,0.93,0.99,1e-08,5.0,5.551115123125783e-17,0.6039928230084004
6.0,0.01,64.0,1.0,300.0,0.96,0.9990000000000001,1e-06,5.0,5.551115123125783e-17,0.6224100169433926
15.0,0.01,64.0,0.1,500.0,0.93,0.993,1e-08,20.0,3.327987326366966e-05,0.6184794707617662
24.0,0.005,64.0,0.1,300.0,0.9,0.996,0.01,5.0,1.5327383356711356e-05,0.600899292260234
3.0,0.01,128.0,0.01,200.0,0.99,0.996,0.0001,10.0,0.21759993296741068,0.672887306904289
6.0,0.005,256.0,1.0,50.0,0.96,0.996,0.0001,10.0,4.440892098500625e-17,0.5863270220075198
3.0,0.01,128.0,1.0,50.0,0.99,0.996,0.01,20.0,6.661338147750939e-17,0.5877116070558571
15.0,0.01,1024.0,0.1,50.0,0.96,0.996,0.1,20.0,4.440892098500625e-17,0.6181179410862745
21.0,0.001,128.0,0.1,300.0,0.99,0.99,1e-06,5.0,0.0004550839943598617,0.593595454473411
24.0,0.005,256.0,1.0,200.0,0.93,0.99,0.01,5.0,3.949102566835894e-06,0.6096479813276321
21.0,0.0001,32.0,0.1,300.0,0.9,0.996,1e-06,20.0,4.440892098500625e-17,0.5957121954231357
21.0,0.005,256.0,1.0,100.0,0.96,0.9990000000000001,0.01,5.0,6.661338147750939e-17,0.6010433179003478
9.0,0.001,64.0,1.0,500.0,0.99,0.996,0.01,5.0,3.330669073875469e-17,0.6219397217333389
3.0,0.001,1024.0,0.01,500.0,0.99,0.996,1e-08,5.0,3.330669073875469e-17,0.676425124278664
30.0,0.01,512.0,0.1,100.0,0.99,0.996,1e-08,10.0,5.551115123125783e-17,0.5361884422905441
3.0,0.01,32.0,0.1,500.0,0.99,0.9990000000000001,0.01,5.0,2.7872228081093908e-08,0.6017031661855688
21.0,0.001,128.0,1.0,100.0,0.9,0.993,0.1,20.0,2.2204460492503126e-17,0.6964809542216721
15.0,0.005,128.0,0.1,300.0,0.96,0.996,0.01,5.0,1.1102230246251566e-17,0.6008943761920997
3.0,0.005,32.0,0.001,500.0,0.93,0.996,0.1,5.0,9.992007221626408e-17,0.6039457349525379
